AnimalID,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A681805,Adoption,Foster,Dog,Neutered Male,10 months,Jack Russell Terrier/Chihuahua Shorthair,Red/White
A701608,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Blue/White
A679234,Return_to_owner,,Dog,Intact Male,2 years,German Shepherd Mix,Black
A693600,Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Black/Tricolor
A707978,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby
A707669,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A720690,Adoption,,Dog,Neutered Male,5 months,Dachshund Mix,Tricolor
A650619,Adoption,,Dog,Neutered Male,8 years,German Shepherd/Labrador Retriever,Tricolor
A709474,Transfer,Partner,Dog,Intact Female,1 month,Beagle,Tricolor
A702599,Adoption,,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow/White
A709131,Transfer,Partner,Dog,Neutered Male,2 years,Harrier Mix,Red/White
A686138,Adoption,,Dog,Neutered Male,10 months,Chihuahua Shorthair/Dachshund,Brown/Tricolor
A707639,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Cream Tabby
A682819,Transfer,Partner,Dog,Neutered Male,2 years,Cocker Spaniel/Golden Retriever,Gold/White
A671569,Return_to_owner,,Dog,Spayed Female,4 years,Weimaraner/Labrador Retriever,Chocolate/Red
A704379,Adoption,,Dog,Neutered Male,10 months,Tibetan Terrier/Lhasa Apso,Black/White
A688741,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A681261,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black/White
A707629,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A687096,Adoption,,Dog,Spayed Female,3 months,Labrador Retriever Mix,Red
A677233,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Longhair Mix,Brown
A710603,Adoption,,Dog,Spayed Female,1 year,Whippet/Labrador Retriever,Brown Brindle/White
A686254,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby
A685511,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
A666319,Euthanasia,Suffering,Cat,Spayed Female,8 years,Persian Mix,Flame Point
A694719,Return_to_owner,,Dog,Neutered Male,16 years,Australian Cattle Dog Mix,Brown/White
A680780,Euthanasia,Behavior,Dog,Spayed Female,2 years,Pit Bull Mix,Black
A702484,Adoption,,Cat,Spayed Female,8 years,Siamese Mix,Lynx Point
A694521,Adoption,,Dog,Spayed Female,3 years,Chihuahua Shorthair,Brown/White
A669725,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair,White/Tan
A686535,Transfer,SCRP,Cat,Intact Male,8 months,Domestic Shorthair Mix,Black
A685610,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,White/Brown Brindle
A691734,Adoption,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Blue Tabby
A714278,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
A695622,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby
A685068,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby/White
A643733,Return_to_owner,,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Black/Tan
A700051,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Brown Tabby
A692542,Transfer,Partner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black
A620318,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A617558,Return_to_owner,,Dog,Neutered Male,3 years,Dachshund Mix,Black
A672614,Adoption,Offsite,Dog,Spayed Female,10 months,Chihuahua Shorthair Mix,Tan
A691849,Adoption,,Dog,Spayed Female,7 years,Beagle Mix,Tricolor
A680069,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A427808,Return_to_owner,,Dog,Spayed Female,13 years,Golden Retriever/Border Collie,Yellow
A690927,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A661260,Adoption,,Dog,Neutered Male,5 years,Pit Bull Mix,Brown/White
A692355,Transfer,SCRP,Cat,Intact Female,8 months,Domestic Shorthair Mix,Torbie
A665794,Adoption,,Dog,Spayed Female,7 years,Pit Bull/Boxer,Brown/White
A693288,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A682298,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
A719440,Return_to_owner,,Dog,Neutered Male,3 years,Dachshund Mix,Black/Brown
A719661,Euthanasia,Suffering,Cat,Intact Female,6 months,Domestic Medium Hair Mix,Blue
A664350,Return_to_owner,,Dog,Neutered Male,3 years,Welsh Terrier Mix,Tan/Brown
A689916,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A701296,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
A720804,Return_to_owner,,Dog,Spayed Female,4 years,Siberian Husky Mix,Black/Brown
A645075,Euthanasia,Aggressive,Dog,Intact Male,6 years,Labrador Retriever Mix,Chocolate
A666429,Return_to_owner,,Dog,Spayed Female,7 years,Rhod Ridgeback Mix,Fawn
A677234,Return_to_owner,,Dog,Neutered Male,3 years,Great Pyrenees/Boxer,Red/White
A714527,Return_to_owner,,Dog,Spayed Female,8 years,Bloodhound,Brown
A669785,Euthanasia,Suffering,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
A719418,Transfer,Partner,Cat,Spayed Female,6 months,Domestic Shorthair Mix,White/Blue
A681795,Transfer,Partner,Dog,Intact Female,3 months,Miniature Poodle Mix,Apricot
A704365,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Blue Tabby
A707683,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A694781,Return_to_owner,,Dog,Spayed Female,2 months,Yorkshire Terrier/Miniature Poodle,White/Buff
A692395,Return_to_owner,,Dog,Neutered Male,2 years,Basset Hound Mix,Brown/White
A671186,Transfer,Partner,Dog,Neutered Male,1 year,Dachshund Mix,Black/White
A650144,Return_to_owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Yellow/White
A705782,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,White/Brown Tabby
A696559,Adoption,,Dog,Spayed Female,3 months,Border Terrier/Miniature Poodle,White/Brown
A672175,Return_to_owner,,Dog,Spayed Female,1 year,German Shepherd/Border Collie,Black/White
A676922,Adoption,,Dog,Neutered Male,5 months,Border Terrier/Rat Terrier,Brown
A694660,Return_to_owner,,Dog,Neutered Male,5 years,Labrador Retriever/Rhod Ridgeback,Black/White
A707708,Return_to_owner,,Dog,Spayed Female,2 years,Mastiff Mix,Tan/Black
A667873,Return_to_owner,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White
A705112,Return_to_owner,,Dog,Intact Female,3 years,Basset Hound Mix,White/Black
A710141,Transfer,Partner,Dog,Spayed Female,4 years,Tibetan Terrier/Lhasa Apso,Tricolor
A680414,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
A665151,Transfer,Partner,Dog,Intact Female,4 weeks,Chihuahua Shorthair Mix,Gold
A685171,Transfer,Partner,Dog,Intact Male,1 year,Pug Mix,Brown Brindle/White
A712770,Euthanasia,Suffering,Cat,Neutered Male,5 years,Domestic Longhair Mix,Black/White
A494170,Return_to_owner,,Dog,Neutered Male,8 years,German Shepherd Mix,Sable
A706211,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
A695188,Adoption,,Dog,Neutered Male,1 year,Australian Cattle Dog/Labrador Retriever,Black/White
A699197,Adoption,,Dog,Spayed Female,10 years,Labrador Retriever Mix,Tan/White
A709648,Transfer,SCRP,Cat,Intact Female,10 months,Domestic Shorthair Mix,Tortie
A615846,Return_to_owner,,Cat,Spayed Female,4 years,Siamese Mix,Flame Point
A710195,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black
A706529,Euthanasia,Suffering,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Orange Tabby
A688028,Euthanasia,Aggressive,Dog,Neutered Male,2 years,American Staffordshire Terrier Mix,Tan/White
A699943,Adoption,,Dog,Spayed Female,1 year,Miniature Pinscher Mix,Black/White
A718423,Transfer,Partner,Dog,Intact Female,5 months,Doberman Pinsch Mix,Black/Tan
A681413,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White
A719998,Died,In Kennel,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Orange Tabby/White
A696278,Euthanasia,Aggressive,Dog,Intact Male,2 years,American Bulldog Mix,Tan/White
A666976,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A709233,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,White/Black
A675226,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Buff
A678301,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby/White
A649442,Return_to_owner,,Dog,Spayed Female,6 years,Pomeranian Mix,Red
A719138,Adoption,,Dog,Neutered Male,3 years,Miniature Schnauzer Mix,Cream/Brown
A681460,Return_to_owner,,Dog,Spayed Female,10 years,Boxer/American Bulldog,Brown/White
A710727,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A662822,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A657188,Adoption,Foster,Cat,Neutered Male,14 years,Domestic Shorthair Mix,Brown Tabby/White
A705683,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A719465,Adoption,,Dog,Spayed Female,5 months,Pug Mix,Cream/Black
A664770,Adoption,,Dog,Spayed Female,3 months,Australian Cattle Dog Mix,Blue Merle/Cream
A700589,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Orange Tabby
A706463,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby/White
A717055,Return_to_owner,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Yellow
A711835,Transfer,Partner,Dog,Intact Male,1 month,German Shepherd Mix,Black/Brown
A718844,Adoption,,Dog,Spayed Female,6 years,Pug Mix,Red/White
A691114,Adoption,,Dog,Neutered Male,6 months,Landseer Mix,Black/White
A679212,Euthanasia,Suffering,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
A672181,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
A709904,Return_to_owner,,Dog,Intact Male,6 years,Carolina Dog Mix,Red/White
A679862,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue
A671667,Return_to_owner,,Dog,Spayed Female,8 years,Weimaraner/Labrador Retriever,Tan/White
A711245,Transfer,SCRP,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby
A693241,Return_to_owner,,Dog,Spayed Female,7 months,Chihuahua Shorthair Mix,Cream
A694594,Adoption,,Dog,Spayed Female,9 months,Labrador Retriever,Black/White
A716526,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A703487,Return_to_owner,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black
A690443,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair,Calico
A683406,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White
A674418,Return_to_owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White
A671380,Euthanasia,Suffering,Dog,Neutered Male,10 years,Cocker Spaniel Mix,White/Black
A714824,Adoption,,Dog,Neutered Male,3 years,German Shepherd Mix,Black/White
A708193,Adoption,,Dog,Neutered Male,1 year,Siberian Husky Mix,White
A690060,Adoption,,Dog,Neutered Male,9 months,Pit Bull Mix,Blue/White
A671516,Return_to_owner,,Dog,Neutered Male,5 years,Labrador Retriever/Border Collie,Black
A697407,Adoption,,Dog,Spayed Female,1 month,Plott Hound Mix,Brown Brindle/White
A569032,Return_to_owner,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Buff
A679766,Return_to_owner,,Dog,Intact Female,1 year,Anatol Shepherd,Tan/Black
A697617,Adoption,,Dog,Neutered Male,10 months,Chihuahua Shorthair Mix,Black/White
A684529,Adoption,,Dog,Spayed Female,7 months,Chow Chow/Australian Cattle Dog,Tan/Gray
A709466,Return_to_owner,,Dog,Spayed Female,2 years,Miniature Poodle Mix,Black
A718739,Transfer,Partner,Dog,Neutered Male,2 years,Dachshund Wirehair/Chihuahua Shorthair,Buff
A695247,Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan
A720176,Transfer,SCRP,Cat,Intact Male,4 years,Domestic Shorthair Mix,Brown Tabby/White
A671787,Return_to_owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Yorkshire Terrier,Black/Tan
A688404,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White
A621341,Return_to_owner,,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White
A700143,Transfer,Partner,Dog,Spayed Female,2 years,Anatol Shepherd Mix,White/Red
A676809,Transfer,Partner,Dog,Intact Female,3 years,Shih Tzu Mix,Gray/White
A705993,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White/Black
A668540,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Black/White
A287217,Return_to_owner,,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Black
A679999,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Medium Hair Mix,Orange Tabby/White
A682877,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A715289,Adoption,,Dog,Spayed Female,6 years,Miniature Poodle/Miniature Schnauzer,Black/Brown
A666762,Adoption,Foster,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black/White
A712187,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A666672,Adoption,,Dog,Spayed Female,8 months,Jack Russell Terrier Mix,Tricolor
A679670,Transfer,Partner,Dog,Neutered Male,3 years,Plott Hound Mix,Brown Brindle
A720857,Return_to_owner,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Cream Tabby/White
A704118,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A711196,Adoption,,Dog,Spayed Female,5 years,Great Pyrenees Mix,White
A707123,Return_to_owner,,Dog,Spayed Female,5 years,Siberian Husky Mix,Black/Tan
A710999,Transfer,SCRP,Cat,Unknown,5 months,Domestic Shorthair Mix,Brown Tabby
A687261,Transfer,Partner,Dog,Neutered Male,6 months,Miniature Schnauzer/Miniature Poodle,Cream
A688652,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A720101,Adoption,,Dog,Neutered Male,1 year,Dachshund Longhair/Cocker Spaniel,Tan/White
A681059,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A668017,Transfer,Partner,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Black
A689280,Adoption,Foster,Dog,Neutered Male,6 months,German Shepherd Mix,White
A702025,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black/White
A703730,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Smoke/White
A711056,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair/Rat Terrier,Tricolor
A701442,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,Brown
A667969,Transfer,Partner,Dog,Intact Female,5 months,Labrador Retriever/German Shepherd,Tan
A698581,Euthanasia,Suffering,Dog,Neutered Male,4 years,Toy Fox Terrier Mix,Brown/Black
A719804,Return_to_owner,,Dog,Spayed Female,10 months,Rat Terrier Mix,Tricolor
A694134,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/Tan
A703555,Return_to_owner,,Dog,Neutered Male,2 years,Great Pyrenees/Labrador Retriever,White/Tan
A678728,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,White/Tan
A665303,Transfer,SCRP,Cat,Neutered Male,6 years,Domestic Medium Hair Mix,Black/White
A712359,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair Mix,Cream Tabby
A677840,Adoption,Offsite,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Sable
A669183,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
A667333,Return_to_owner,,Dog,Spayed Female,10 months,Doberman Pinsch Mix,Chocolate/Tan
A701150,Adoption,Foster,Dog,Neutered Male,2 months,Dachshund/Manchester Terrier,Sable
A700820,Return_to_owner,,Dog,Neutered Male,2 years,Siberian Husky Mix,Black/White
A688884,Adoption,,Dog,Neutered Male,7 months,Bull Terrier Mix,White/Black
A688783,Transfer,SCRP,Cat,Intact Male,6 months,Domestic Shorthair Mix,Black
A720547,Return_to_owner,,Dog,Neutered Male,1 year,German Shepherd Mix,Tan/Brown
A672105,Return_to_owner,,Dog,Neutered Male,5 years,Basset Hound Mix,Red/White
A669983,Return_to_owner,,Dog,Spayed Female,6 years,Whippet Mix,Gray/Black
A704809,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black
A705442,Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair Mix,Brown Tabby
A692421,Transfer,Partner,Dog,Intact Male,1 year,Lhasa Apso Mix,Buff/Black
A694891,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Brown/White
A701723,Transfer,Partner,Cat,Unknown,0 years,Domestic Shorthair Mix,Tortie
A708058,Transfer,SCRP,Cat,Intact Female,1 year,Siamese Mix,Lynx Point
A711624,Transfer,Partner,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,White/Blue
A682481,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Black
A693511,Adoption,,Dog,Spayed Female,5 years,Belgian Sheepdog,Sable
A680490,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
A719903,Adoption,,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Brown/White
A701691,Euthanasia,Aggressive,Dog,Intact Male,2 years,Golden Retriever Mix,Red
A715145,Return_to_owner,,Dog,Neutered Male,5 years,Pit Bull,Brown/White
A718694,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown
A713461,Transfer,Partner,Dog,Spayed Female,5 years,Labrador Retriever Mix,Chocolate
A669467,Return_to_owner,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
A707388,Transfer,Partner,Dog,Neutered Male,10 months,Beagle Mix,White/Tricolor
A699020,Transfer,Partner,Dog,Intact Female,2 weeks,Chihuahua Shorthair Mix,Brown
A711787,Transfer,Partner,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
A676094,Transfer,Partner,Dog,Neutered Male,10 years,Border Collie,Black/White
A664222,Adoption,,Dog,Spayed Female,7 months,Chihuahua Shorthair/Dachshund,Black/Tan
A695288,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue/White
A705168,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Tortie/Orange
A668400,Adoption,,Dog,Neutered Male,2 years,Pbgv,White/Gray
A685486,Adoption,,Dog,Intact Male,1 year,Pit Bull Mix,Blue
A687822,Return_to_owner,,Dog,Neutered Male,2 years,German Shepherd Mix,Chocolate/Tan
A698329,Euthanasia,Suffering,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A708893,Transfer,Partner,Cat,Spayed Female,4 months,Siamese,Lynx Point
A610815,Return_to_owner,,Dog,Spayed Female,15 years,Chihuahua Shorthair Mix,Black/Cream
A704059,Adoption,,Dog,Neutered Male,4 years,English Bulldog,White/Black
A683464,Transfer,Partner,Dog,Intact Male,3 weeks,Labrador Retriever Mix,White
A635766,Return_to_owner,,Dog,Neutered Male,1 year,Pit Bull/Boxer,Chocolate/White
A670002,Return_to_owner,,Dog,Spayed Female,3 years,Miniature Poodle/Yorkshire Terrier,White/Silver
A706336,Return_to_owner,,Dog,Intact Male,2 years,Labrador Retriever/Great Pyrenees,White/Tan
A666972,Adoption,,Cat,Spayed Female,2 months,Manx Mix,Orange Tabby/White
A717644,Return_to_owner,,Dog,Neutered Male,8 years,Boxer Mix,Brown
A575803,Return_to_owner,,Dog,Neutered Male,7 years,Miniature Poodle/Dachshund,Gray/White
A678311,Adoption,,Dog,Neutered Male,10 months,Labrador Retriever,Black
A662399,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Lynx Point
A713935,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby/White
A685487,Adoption,,Dog,Neutered Male,3 years,Akita/Australian Cattle Dog,Brown Brindle
A664023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A685495,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A699324,Return_to_owner,,Dog,Spayed Female,5 months,Labrador Retriever Mix,Black/White
A667469,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
A676356,Adoption,,Dog,Spayed Female,3 years,Pointer/Catahoula,Tan/White
A670865,Transfer,Partner,Dog,Intact Male,2 years,Australian Cattle Dog Mix,Brown Merle/Black
A681923,Return_to_owner,,Dog,Neutered Male,14 years,Samoyed Mix,White
A663408,Adoption,,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Tricolor
A689337,Adoption,,Dog,Spayed Female,2 months,Border Collie Mix,Chocolate/White
A664231,Adoption,,Dog,Spayed Female,2 years,Whippet Mix,White/Black
A699890,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle/White
A672228,Adoption,Foster,Dog,Spayed Female,1 month,Border Collie Mix,Tricolor
A690994,Adoption,,Dog,Spayed Female,2 months,Plott Hound Mix,White/Brown Brindle
A703250,Transfer,Partner,Dog,Intact Male,4 months,Australian Kelpie,Black/White
A720688,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red
A706312,Transfer,Partner,Dog,Neutered Male,2 years,Black/Tan Hound Mix,Black/Tan
A669217,Adoption,,Dog,Neutered Male,1 year,Norfolk Terrier/Yorkshire Terrier,Tricolor
A718890,Adoption,,Dog,Neutered Male,5 months,Pit Bull Mix,Brown Brindle/Black
A694201,Return_to_owner,,Dog,Neutered Male,4 years,Otterhound Mix,Black/Tan
A693452,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A665662,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,White/Black
A651982,Return_to_owner,,Dog,Spayed Female,7 years,Flat Coat Retriever Mix,Black
A700627,Return_to_owner,,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Gray
A613280,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Tan/White
A680419,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie
A689984,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black/White
A716566,Transfer,Partner,Dog,Intact Female,5 months,Border Collie Mix,Black/White
A708085,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
A682073,Euthanasia,Suffering,Dog,Intact Female,3 years,Pit Bull Mix,Blue/White
A514631,Transfer,Partner,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Black
A701702,Adoption,,Cat,Spayed Female,5 years,Domestic Medium Hair Mix,Tortie
A647580,Return_to_owner,,Dog,Neutered Male,2 years,Catahoula Mix,White/Black
A673682,Adoption,Foster,Dog,Spayed Female,3 years,Black Mouth Cur/Labrador Retriever,Brown Brindle
A668863,Adoption,Foster,Dog,Spayed Female,1 year,Pit Bull Mix,White/Black
A668423,Transfer,Partner,Dog,Intact Male,3 years,Pit Bull Mix,Fawn
A719139,Transfer,Partner,Cat,Intact Female,10 months,Domestic Shorthair Mix,Brown Tabby
A707069,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Tortie
A701363,Adoption,,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,Blue/White
A530461,Return_to_owner,,Dog,Spayed Female,7 years,St. Bernard Rough Coat Mix,Brown/Tricolor
A663918,Transfer,Partner,Cat,Spayed Female,8 years,Domestic Longhair Mix,Black/White
A685351,Return_to_owner,,Dog,Intact Male,6 years,Pomeranian Mix,Red
A717593,Return_to_owner,,Dog,Spayed Female,4 years,Jack Russell Terrier Mix,White
A691126,Return_to_owner,,Dog,Neutered Male,10 years,Maltese/Miniature Poodle,White
A665204,Euthanasia,Aggressive,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black
A676515,Return_to_owner,,Dog,Neutered Male,3 months,Pit Bull Mix,White/Brown
A671482,Adoption,,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Black/Tan
A667002,Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever/Pit Bull,Tan
A691012,Return_to_owner,,Dog,Intact Male,4 years,Staffordshire Mix,Red/White
A711456,Transfer,SCRP,Cat,Neutered Male,6 years,Domestic Shorthair Mix,White/Black
A692376,Transfer,Partner,Dog,Intact Female,1 month,German Shepherd/Labrador Retriever,Black/White
A692243,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Black
A669883,Adoption,Foster,Cat,Neutered Male,3 years,Siamese Mix,Lynx Point
A710352,Transfer,Partner,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Tan
A688976,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Orange Tabby
A695438,Adoption,,Dog,Spayed Female,3 years,Australian Kelpie Mix,Red/Tan
A706503,Adoption,,Dog,Spayed Female,6 months,Pit Bull Mix,Blue/White
A683317,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Tan/White
A670900,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
A672918,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
A669942,Adoption,,Dog,Neutered Male,4 months,Australian Shepherd Mix,Black/White
A698677,Return_to_owner,,Dog,Spayed Female,2 years,Dachshund Mix,Black/Tan
A687053,Transfer,Partner,Cat,Spayed Female,2 years,Snowshoe Mix,Seal Point/White
A695692,Adoption,,Dog,Spayed Female,3 years,Australian Cattle Dog/Cardigan Welsh Corgi,Sable/White
A698642,Return_to_owner,,Dog,Neutered Male,2 years,American Bulldog,White/Chocolate
A573141,Transfer,Partner,Dog,Neutered Male,13 years,Dogo Argentino Mix,White/Black
A321341,Adoption,,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Tortie
A698527,Adoption,,Dog,Spayed Female,2 years,Staffordshire Mix,Black Brindle/White
A677287,Transfer,Partner,Cat,Intact Male,4 days,Domestic Shorthair Mix,Brown Tabby
A689878,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black
A695364,Transfer,Partner,Dog,Neutered Male,5 years,Pit Bull Mix,Fawn/White
A682577,Transfer,Partner,Dog,Intact Female,1 month,Miniature Poodle Mix,Black/White
A690241,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
